day,hosp,icu,vent,scenario
0,0.0,0.0,0.0,test_soc_5
1,34.0,14.0,7.0,test_soc_5
2,37.0,15.0,8.0,test_soc_5
3,39.0,16.0,8.0,test_soc_5
4,42.0,17.0,9.0,test_soc_5
5,45.0,18.0,9.0,test_soc_5
6,48.0,20.0,10.0,test_soc_5
7,52.0,21.0,11.0,test_soc_5
8,55.0,22.0,11.0,test_soc_5
9,59.0,24.0,12.0,test_soc_5
10,63.0,25.0,13.0,test_soc_5
11,67.0,27.0,14.0,test_soc_5
12,72.0,29.0,15.0,test_soc_5
13,77.0,31.0,16.0,test_soc_5
14,82.0,33.0,17.0,test_soc_5
15,87.0,35.0,18.0,test_soc_5
16,93.0,37.0,19.0,test_soc_5
17,99.0,40.0,20.0,test_soc_5
18,105.0,42.0,21.0,test_soc_5
19,112.0,45.0,23.0,test_soc_5
20,118.0,48.0,24.0,test_soc_5
21,126.0,51.0,26.0,test_soc_5
22,133.0,54.0,27.0,test_soc_5
23,141.0,57.0,29.0,test_soc_5
24,149.0,60.0,30.0,test_soc_5
25,157.0,63.0,32.0,test_soc_5
26,166.0,67.0,34.0,test_soc_5
27,175.0,70.0,35.0,test_soc_5
28,184.0,74.0,37.0,test_soc_5
29,193.0,78.0,39.0,test_soc_5
30,203.0,81.0,41.0,test_soc_5
31,212.0,85.0,43.0,test_soc_5
32,222.0,89.0,45.0,test_soc_5
33,231.0,93.0,47.0,test_soc_5
34,240.0,96.0,48.0,test_soc_5
35,250.0,100.0,50.0,test_soc_5
36,259.0,104.0,52.0,test_soc_5
37,267.0,107.0,54.0,test_soc_5
38,275.0,110.0,55.0,test_soc_5
39,283.0,113.0,57.0,test_soc_5
40,290.0,116.0,58.0,test_soc_5
41,296.0,119.0,60.0,test_soc_5
42,301.0,121.0,61.0,test_soc_5
43,305.0,122.0,61.0,test_soc_5
44,308.0,124.0,62.0,test_soc_5
45,310.0,124.0,62.0,test_soc_5
46,311.0,125.0,63.0,test_soc_5
47,310.0,124.0,62.0,test_soc_5
48,308.0,123.0,62.0,test_soc_5
49,304.0,122.0,61.0,test_soc_5
50,298.0,120.0,60.0,test_soc_5
51,291.0,117.0,59.0,test_soc_5
52,283.0,113.0,57.0,test_soc_5
53,273.0,109.0,55.0,test_soc_5
54,261.0,105.0,53.0,test_soc_5
55,247.0,99.0,50.0,test_soc_5
56,233.0,93.0,47.0,test_soc_5
57,217.0,87.0,44.0,test_soc_5
58,199.0,80.0,40.0,test_soc_5
59,181.0,73.0,37.0,test_soc_5
60,161.0,65.0,33.0,test_soc_5
61,141.0,57.0,29.0,test_soc_5
62,120.0,48.0,24.0,test_soc_5
63,99.0,40.0,20.0,test_soc_5
64,77.0,31.0,16.0,test_soc_5
65,55.0,22.0,11.0,test_soc_5
66,33.0,14.0,7.0,test_soc_5
67,12.0,5.0,3.0,test_soc_5
68,0.0,0.0,0.0,test_soc_5
69,0.0,0.0,0.0,test_soc_5
70,0.0,0.0,0.0,test_soc_5
71,0.0,0.0,0.0,test_soc_5
72,0.0,0.0,0.0,test_soc_5
73,0.0,0.0,0.0,test_soc_5
74,0.0,0.0,0.0,test_soc_5
75,0.0,0.0,0.0,test_soc_5
76,0.0,0.0,0.0,test_soc_5
77,0.0,0.0,0.0,test_soc_5
78,0.0,0.0,0.0,test_soc_5
79,0.0,0.0,0.0,test_soc_5
80,0.0,0.0,0.0,test_soc_5
81,0.0,0.0,0.0,test_soc_5
82,0.0,0.0,0.0,test_soc_5
83,0.0,0.0,0.0,test_soc_5
84,0.0,0.0,0.0,test_soc_5
85,0.0,0.0,0.0,test_soc_5
86,0.0,0.0,0.0,test_soc_5
87,0.0,0.0,0.0,test_soc_5
88,0.0,0.0,0.0,test_soc_5
89,0.0,0.0,0.0,test_soc_5
90,0.0,0.0,0.0,test_soc_5
91,0.0,0.0,0.0,test_soc_5
92,0.0,0.0,0.0,test_soc_5
93,0.0,0.0,0.0,test_soc_5
94,0.0,0.0,0.0,test_soc_5
95,0.0,0.0,0.0,test_soc_5
96,0.0,0.0,0.0,test_soc_5
97,0.0,0.0,0.0,test_soc_5
98,0.0,0.0,0.0,test_soc_5
99,0.0,0.0,0.0,test_soc_5
100,0.0,0.0,0.0,test_soc_5
101,0.0,0.0,0.0,test_soc_5
102,0.0,0.0,0.0,test_soc_5
103,0.0,0.0,0.0,test_soc_5
104,0.0,0.0,0.0,test_soc_5
105,0.0,0.0,0.0,test_soc_5
106,0.0,0.0,0.0,test_soc_5
107,0.0,0.0,0.0,test_soc_5
108,0.0,0.0,0.0,test_soc_5
109,0.0,0.0,0.0,test_soc_5
110,0.0,0.0,0.0,test_soc_5
111,0.0,0.0,0.0,test_soc_5
112,0.0,0.0,0.0,test_soc_5
113,0.0,0.0,0.0,test_soc_5
114,0.0,0.0,0.0,test_soc_5
115,0.0,0.0,0.0,test_soc_5
116,0.0,0.0,0.0,test_soc_5
117,0.0,0.0,0.0,test_soc_5
118,0.0,0.0,0.0,test_soc_5
119,0.0,0.0,0.0,test_soc_5
120,,,,test_soc_5
0,0.0,0.0,0.0,test_soc_10
1,34.0,14.0,7.0,test_soc_10
2,37.0,15.0,8.0,test_soc_10
3,39.0,16.0,8.0,test_soc_10
4,42.0,17.0,9.0,test_soc_10
5,45.0,18.0,9.0,test_soc_10
6,48.0,20.0,10.0,test_soc_10
7,52.0,21.0,11.0,test_soc_10
8,55.0,22.0,11.0,test_soc_10
9,59.0,24.0,12.0,test_soc_10
10,63.0,25.0,13.0,test_soc_10
11,67.0,27.0,14.0,test_soc_10
12,72.0,29.0,15.0,test_soc_10
13,77.0,31.0,16.0,test_soc_10
14,82.0,33.0,17.0,test_soc_10
15,87.0,35.0,18.0,test_soc_10
16,93.0,37.0,19.0,test_soc_10
17,99.0,40.0,20.0,test_soc_10
18,105.0,42.0,21.0,test_soc_10
19,112.0,45.0,23.0,test_soc_10
20,118.0,48.0,24.0,test_soc_10
21,126.0,51.0,26.0,test_soc_10
22,133.0,54.0,27.0,test_soc_10
23,141.0,57.0,29.0,test_soc_10
24,149.0,60.0,30.0,test_soc_10
25,157.0,63.0,32.0,test_soc_10
26,166.0,67.0,34.0,test_soc_10
27,175.0,70.0,35.0,test_soc_10
28,184.0,74.0,37.0,test_soc_10
29,193.0,78.0,39.0,test_soc_10
30,203.0,81.0,41.0,test_soc_10
31,212.0,85.0,43.0,test_soc_10
32,222.0,89.0,45.0,test_soc_10
33,231.0,93.0,47.0,test_soc_10
34,240.0,96.0,48.0,test_soc_10
35,250.0,100.0,50.0,test_soc_10
36,259.0,104.0,52.0,test_soc_10
37,267.0,107.0,54.0,test_soc_10
38,275.0,110.0,55.0,test_soc_10
39,283.0,113.0,57.0,test_soc_10
40,290.0,116.0,58.0,test_soc_10
41,296.0,119.0,60.0,test_soc_10
42,301.0,121.0,61.0,test_soc_10
43,305.0,122.0,61.0,test_soc_10
44,308.0,124.0,62.0,test_soc_10
45,310.0,124.0,62.0,test_soc_10
46,311.0,125.0,63.0,test_soc_10
47,310.0,124.0,62.0,test_soc_10
48,308.0,123.0,62.0,test_soc_10
49,304.0,122.0,61.0,test_soc_10
50,298.0,120.0,60.0,test_soc_10
51,291.0,117.0,59.0,test_soc_10
52,283.0,113.0,57.0,test_soc_10
53,273.0,109.0,55.0,test_soc_10
54,261.0,105.0,53.0,test_soc_10
55,247.0,99.0,50.0,test_soc_10
56,233.0,93.0,47.0,test_soc_10
57,217.0,87.0,44.0,test_soc_10
58,199.0,80.0,40.0,test_soc_10
59,181.0,73.0,37.0,test_soc_10
60,161.0,65.0,33.0,test_soc_10
61,141.0,57.0,29.0,test_soc_10
62,120.0,48.0,24.0,test_soc_10
63,99.0,40.0,20.0,test_soc_10
64,77.0,31.0,16.0,test_soc_10
65,55.0,22.0,11.0,test_soc_10
66,33.0,14.0,7.0,test_soc_10
67,12.0,5.0,3.0,test_soc_10
68,0.0,0.0,0.0,test_soc_10
69,0.0,0.0,0.0,test_soc_10
70,0.0,0.0,0.0,test_soc_10
71,0.0,0.0,0.0,test_soc_10
72,0.0,0.0,0.0,test_soc_10
73,0.0,0.0,0.0,test_soc_10
74,0.0,0.0,0.0,test_soc_10
75,0.0,0.0,0.0,test_soc_10
76,0.0,0.0,0.0,test_soc_10
77,0.0,0.0,0.0,test_soc_10
78,0.0,0.0,0.0,test_soc_10
79,0.0,0.0,0.0,test_soc_10
80,0.0,0.0,0.0,test_soc_10
81,0.0,0.0,0.0,test_soc_10
82,0.0,0.0,0.0,test_soc_10
83,0.0,0.0,0.0,test_soc_10
84,0.0,0.0,0.0,test_soc_10
85,0.0,0.0,0.0,test_soc_10
86,0.0,0.0,0.0,test_soc_10
87,0.0,0.0,0.0,test_soc_10
88,0.0,0.0,0.0,test_soc_10
89,0.0,0.0,0.0,test_soc_10
90,0.0,0.0,0.0,test_soc_10
91,0.0,0.0,0.0,test_soc_10
92,0.0,0.0,0.0,test_soc_10
93,0.0,0.0,0.0,test_soc_10
94,0.0,0.0,0.0,test_soc_10
95,0.0,0.0,0.0,test_soc_10
96,0.0,0.0,0.0,test_soc_10
97,0.0,0.0,0.0,test_soc_10
98,0.0,0.0,0.0,test_soc_10
99,0.0,0.0,0.0,test_soc_10
100,0.0,0.0,0.0,test_soc_10
101,0.0,0.0,0.0,test_soc_10
102,0.0,0.0,0.0,test_soc_10
103,0.0,0.0,0.0,test_soc_10
104,0.0,0.0,0.0,test_soc_10
105,0.0,0.0,0.0,test_soc_10
106,0.0,0.0,0.0,test_soc_10
107,0.0,0.0,0.0,test_soc_10
108,0.0,0.0,0.0,test_soc_10
109,0.0,0.0,0.0,test_soc_10
110,0.0,0.0,0.0,test_soc_10
111,0.0,0.0,0.0,test_soc_10
112,0.0,0.0,0.0,test_soc_10
113,0.0,0.0,0.0,test_soc_10
114,0.0,0.0,0.0,test_soc_10
115,0.0,0.0,0.0,test_soc_10
116,0.0,0.0,0.0,test_soc_10
117,0.0,0.0,0.0,test_soc_10
118,0.0,0.0,0.0,test_soc_10
119,0.0,0.0,0.0,test_soc_10
120,,,,test_soc_10
0,0.0,0.0,0.0,test_soc_15
1,34.0,14.0,7.0,test_soc_15
2,37.0,15.0,8.0,test_soc_15
3,39.0,16.0,8.0,test_soc_15
4,42.0,17.0,9.0,test_soc_15
5,45.0,18.0,9.0,test_soc_15
6,48.0,20.0,10.0,test_soc_15
7,52.0,21.0,11.0,test_soc_15
8,55.0,22.0,11.0,test_soc_15
9,59.0,24.0,12.0,test_soc_15
10,63.0,25.0,13.0,test_soc_15
11,67.0,27.0,14.0,test_soc_15
12,72.0,29.0,15.0,test_soc_15
13,77.0,31.0,16.0,test_soc_15
14,82.0,33.0,17.0,test_soc_15
15,87.0,35.0,18.0,test_soc_15
16,93.0,37.0,19.0,test_soc_15
17,99.0,40.0,20.0,test_soc_15
18,105.0,42.0,21.0,test_soc_15
19,112.0,45.0,23.0,test_soc_15
20,118.0,48.0,24.0,test_soc_15
21,126.0,51.0,26.0,test_soc_15
22,133.0,54.0,27.0,test_soc_15
23,141.0,57.0,29.0,test_soc_15
24,149.0,60.0,30.0,test_soc_15
25,157.0,63.0,32.0,test_soc_15
26,166.0,67.0,34.0,test_soc_15
27,175.0,70.0,35.0,test_soc_15
28,184.0,74.0,37.0,test_soc_15
29,193.0,78.0,39.0,test_soc_15
30,203.0,81.0,41.0,test_soc_15
31,212.0,85.0,43.0,test_soc_15
32,222.0,89.0,45.0,test_soc_15
33,231.0,93.0,47.0,test_soc_15
34,240.0,96.0,48.0,test_soc_15
35,250.0,100.0,50.0,test_soc_15
36,259.0,104.0,52.0,test_soc_15
37,267.0,107.0,54.0,test_soc_15
38,275.0,110.0,55.0,test_soc_15
39,283.0,113.0,57.0,test_soc_15
40,290.0,116.0,58.0,test_soc_15
41,296.0,119.0,60.0,test_soc_15
42,301.0,121.0,61.0,test_soc_15
43,305.0,122.0,61.0,test_soc_15
44,308.0,124.0,62.0,test_soc_15
45,310.0,124.0,62.0,test_soc_15
46,311.0,125.0,63.0,test_soc_15
47,310.0,124.0,62.0,test_soc_15
48,308.0,123.0,62.0,test_soc_15
49,304.0,122.0,61.0,test_soc_15
50,298.0,120.0,60.0,test_soc_15
51,291.0,117.0,59.0,test_soc_15
52,283.0,113.0,57.0,test_soc_15
53,273.0,109.0,55.0,test_soc_15
54,261.0,105.0,53.0,test_soc_15
55,247.0,99.0,50.0,test_soc_15
56,233.0,93.0,47.0,test_soc_15
57,217.0,87.0,44.0,test_soc_15
58,199.0,80.0,40.0,test_soc_15
