day,hosp,icu,vent,scenario
0,0.0,0.0,0.0,test_soc_5
1,34.0,14.0,7.0,test_soc_5
2,71.0,29.0,15.0,test_soc_5
3,110.0,45.0,23.0,test_soc_5
4,152.0,62.0,32.0,test_soc_5
5,197.0,80.0,41.0,test_soc_5
6,245.0,100.0,51.0,test_soc_5
7,297.0,121.0,62.0,test_soc_5
8,318.0,143.0,73.0,test_soc_5
9,340.0,167.0,85.0,test_soc_5
10,364.0,178.0,98.0,test_soc_5
11,389.0,190.0,105.0,test_soc_5
12,416.0,203.0,112.0,test_soc_5
13,445.0,217.0,120.0,test_soc_5
14,475.0,232.0,128.0,test_soc_5
15,507.0,247.0,137.0,test_soc_5
16,541.0,263.0,146.0,test_soc_5
17,577.0,281.0,155.0,test_soc_5
18,615.0,299.0,165.0,test_soc_5
19,655.0,319.0,176.0,test_soc_5
20,696.0,340.0,187.0,test_soc_5
21,740.0,362.0,199.0,test_soc_5
22,786.0,385.0,211.0,test_soc_5
23,834.0,409.0,224.0,test_soc_5
24,884.0,434.0,237.0,test_soc_5
25,936.0,460.0,251.0,test_soc_5
26,990.0,487.0,266.0,test_soc_5
27,1047.0,515.0,281.0,test_soc_5
28,1105.0,544.0,297.0,test_soc_5
29,1165.0,574.0,313.0,test_soc_5
30,1227.0,604.0,330.0,test_soc_5
31,1290.0,635.0,347.0,test_soc_5
32,1355.0,667.0,365.0,test_soc_5
33,1420.0,700.0,383.0,test_soc_5
34,1485.0,733.0,401.0,test_soc_5
35,1551.0,766.0,419.0,test_soc_5
36,1617.0,800.0,437.0,test_soc_5
37,1681.0,833.0,456.0,test_soc_5
38,1744.0,865.0,474.0,test_soc_5
39,1805.0,897.0,492.0,test_soc_5
40,1864.0,928.0,509.0,test_soc_5
41,1920.0,958.0,526.0,test_soc_5
42,1971.0,986.0,542.0,test_soc_5
43,2017.0,1012.0,556.0,test_soc_5
44,2058.0,1036.0,570.0,test_soc_5
45,2093.0,1056.0,582.0,test_soc_5
46,2121.0,1074.0,593.0,test_soc_5
47,2141.0,1088.0,601.0,test_soc_5
48,2153.0,1098.0,608.0,test_soc_5
49,2156.0,1104.0,612.0,test_soc_5
50,2149.0,1105.0,614.0,test_soc_5
51,2132.0,1101.0,613.0,test_soc_5
52,2105.0,1092.0,609.0,test_soc_5
53,2067.0,1077.0,603.0,test_soc_5
54,2018.0,1058.0,594.0,test_soc_5
55,1957.0,1032.0,582.0,test_soc_5
56,1886.0,1001.0,566.0,test_soc_5
57,1805.0,965.0,548.0,test_soc_5
58,1713.0,923.0,526.0,test_soc_5
59,1611.0,876.0,502.0,test_soc_5
60,1499.0,824.0,475.0,test_soc_5
61,1379.0,768.0,445.0,test_soc_5
62,1252.0,707.0,412.0,test_soc_5
63,1118.0,642.0,377.0,test_soc_5
64,978.0,574.0,340.0,test_soc_5
65,834.0,503.0,301.0,test_soc_5
66,686.0,430.0,261.0,test_soc_5
67,537.0,355.0,220.0,test_soc_5
68,396.0,282.0,180.0,test_soc_5
69,276.0,217.0,143.0,test_soc_5
70,177.0,160.0,110.0,test_soc_5
71,100.0,112.0,81.0,test_soc_5
72,45.0,72.0,57.0,test_soc_5
73,12.0,41.0,37.0,test_soc_5
74,0.0,19.0,21.0,test_soc_5
75,0.0,5.0,10.0,test_soc_5
76,0.0,0.0,3.0,test_soc_5
77,0.0,0.0,0.0,test_soc_5
78,0.0,0.0,0.0,test_soc_5
79,0.0,0.0,0.0,test_soc_5
80,0.0,0.0,0.0,test_soc_5
81,0.0,0.0,0.0,test_soc_5
82,0.0,0.0,0.0,test_soc_5
83,0.0,0.0,0.0,test_soc_5
84,0.0,0.0,0.0,test_soc_5
85,0.0,0.0,0.0,test_soc_5
86,0.0,0.0,0.0,test_soc_5
87,0.0,0.0,0.0,test_soc_5
88,0.0,0.0,0.0,test_soc_5
89,0.0,0.0,0.0,test_soc_5
90,0.0,0.0,0.0,test_soc_5
91,0.0,0.0,0.0,test_soc_5
92,0.0,0.0,0.0,test_soc_5
93,0.0,0.0,0.0,test_soc_5
94,0.0,0.0,0.0,test_soc_5
95,0.0,0.0,0.0,test_soc_5
96,0.0,0.0,0.0,test_soc_5
97,0.0,0.0,0.0,test_soc_5
98,0.0,0.0,0.0,test_soc_5
99,0.0,0.0,0.0,test_soc_5
100,0.0,0.0,0.0,test_soc_5
101,0.0,0.0,0.0,test_soc_5
102,0.0,0.0,0.0,test_soc_5
103,0.0,0.0,0.0,test_soc_5
104,0.0,0.0,0.0,test_soc_5
105,0.0,0.0,0.0,test_soc_5
106,0.0,0.0,0.0,test_soc_5
107,0.0,0.0,0.0,test_soc_5
108,0.0,0.0,0.0,test_soc_5
109,0.0,0.0,0.0,test_soc_5
110,0.0,0.0,0.0,test_soc_5
111,0.0,0.0,0.0,test_soc_5
112,0.0,0.0,0.0,test_soc_5
113,0.0,0.0,0.0,test_soc_5
114,0.0,0.0,0.0,test_soc_5
115,0.0,0.0,0.0,test_soc_5
116,0.0,0.0,0.0,test_soc_5
117,0.0,0.0,0.0,test_soc_5
118,0.0,0.0,0.0,test_soc_5
119,0.0,0.0,0.0,test_soc_5
120,0.0,0.0,0.0,test_soc_5
0,0.0,0.0,0.0,test_soc_10
1,34.0,14.0,7.0,test_soc_10
2,71.0,29.0,15.0,test_soc_10
3,110.0,45.0,23.0,test_soc_10
4,152.0,62.0,32.0,test_soc_10
5,197.0,80.0,41.0,test_soc_10
6,245.0,100.0,51.0,test_soc_10
7,297.0,121.0,62.0,test_soc_10
8,318.0,143.0,73.0,test_soc_10
9,340.0,167.0,85.0,test_soc_10
10,364.0,178.0,98.0,test_soc_10
11,389.0,190.0,105.0,test_soc_10
12,416.0,203.0,112.0,test_soc_10
13,445.0,217.0,120.0,test_soc_10
14,475.0,232.0,128.0,test_soc_10
15,507.0,247.0,137.0,test_soc_10
16,541.0,263.0,146.0,test_soc_10
17,577.0,281.0,155.0,test_soc_10
18,615.0,299.0,165.0,test_soc_10
19,655.0,319.0,176.0,test_soc_10
20,696.0,340.0,187.0,test_soc_10
21,740.0,362.0,199.0,test_soc_10
22,786.0,385.0,211.0,test_soc_10
23,834.0,409.0,224.0,test_soc_10
24,884.0,434.0,237.0,test_soc_10
25,936.0,460.0,251.0,test_soc_10
26,990.0,487.0,266.0,test_soc_10
27,1047.0,515.0,281.0,test_soc_10
28,1105.0,544.0,297.0,test_soc_10
29,1165.0,574.0,313.0,test_soc_10
30,1227.0,604.0,330.0,test_soc_10
31,1290.0,635.0,347.0,test_soc_10
32,1355.0,667.0,365.0,test_soc_10
33,1420.0,700.0,383.0,test_soc_10
34,1485.0,733.0,401.0,test_soc_10
35,1551.0,766.0,419.0,test_soc_10
36,1617.0,800.0,437.0,test_soc_10
37,1681.0,833.0,456.0,test_soc_10
38,1744.0,865.0,474.0,test_soc_10
39,1805.0,897.0,492.0,test_soc_10
40,1864.0,928.0,509.0,test_soc_10
41,1920.0,958.0,526.0,test_soc_10
42,1971.0,986.0,542.0,test_soc_10
43,2017.0,1012.0,556.0,test_soc_10
44,2058.0,1036.0,570.0,test_soc_10
45,2093.0,1056.0,582.0,test_soc_10
46,2121.0,1074.0,593.0,test_soc_10
47,2141.0,1088.0,601.0,test_soc_10
48,2153.0,1098.0,608.0,test_soc_10
49,2156.0,1104.0,612.0,test_soc_10
50,2149.0,1105.0,614.0,test_soc_10
51,2132.0,1101.0,613.0,test_soc_10
52,2105.0,1092.0,609.0,test_soc_10
53,2067.0,1077.0,603.0,test_soc_10
54,2018.0,1058.0,594.0,test_soc_10
55,1957.0,1032.0,582.0,test_soc_10
56,1886.0,1001.0,566.0,test_soc_10
57,1805.0,965.0,548.0,test_soc_10
58,1713.0,923.0,526.0,test_soc_10
59,1611.0,876.0,502.0,test_soc_10
60,1499.0,824.0,475.0,test_soc_10
61,1379.0,768.0,445.0,test_soc_10
62,1252.0,707.0,412.0,test_soc_10
63,1118.0,642.0,377.0,test_soc_10
64,978.0,574.0,340.0,test_soc_10
65,834.0,503.0,301.0,test_soc_10
66,686.0,430.0,261.0,test_soc_10
67,537.0,355.0,220.0,test_soc_10
68,396.0,282.0,180.0,test_soc_10
69,276.0,217.0,143.0,test_soc_10
70,177.0,160.0,110.0,test_soc_10
71,100.0,112.0,81.0,test_soc_10
72,45.0,72.0,57.0,test_soc_10
73,12.0,41.0,37.0,test_soc_10
74,0.0,19.0,21.0,test_soc_10
75,0.0,5.0,10.0,test_soc_10
76,0.0,0.0,3.0,test_soc_10
77,0.0,0.0,0.0,test_soc_10
78,0.0,0.0,0.0,test_soc_10
79,0.0,0.0,0.0,test_soc_10
80,0.0,0.0,0.0,test_soc_10
81,0.0,0.0,0.0,test_soc_10
82,0.0,0.0,0.0,test_soc_10
83,0.0,0.0,0.0,test_soc_10
84,0.0,0.0,0.0,test_soc_10
85,0.0,0.0,0.0,test_soc_10
86,0.0,0.0,0.0,test_soc_10
87,0.0,0.0,0.0,test_soc_10
88,0.0,0.0,0.0,test_soc_10
89,0.0,0.0,0.0,test_soc_10
90,0.0,0.0,0.0,test_soc_10
91,0.0,0.0,0.0,test_soc_10
92,0.0,0.0,0.0,test_soc_10
93,0.0,0.0,0.0,test_soc_10
94,0.0,0.0,0.0,test_soc_10
95,0.0,0.0,0.0,test_soc_10
96,0.0,0.0,0.0,test_soc_10
97,0.0,0.0,0.0,test_soc_10
98,0.0,0.0,0.0,test_soc_10
99,0.0,0.0,0.0,test_soc_10
100,0.0,0.0,0.0,test_soc_10
101,0.0,0.0,0.0,test_soc_10
102,0.0,0.0,0.0,test_soc_10
103,0.0,0.0,0.0,test_soc_10
104,0.0,0.0,0.0,test_soc_10
105,0.0,0.0,0.0,test_soc_10
106,0.0,0.0,0.0,test_soc_10
107,0.0,0.0,0.0,test_soc_10
108,0.0,0.0,0.0,test_soc_10
109,0.0,0.0,0.0,test_soc_10
110,0.0,0.0,0.0,test_soc_10
111,0.0,0.0,0.0,test_soc_10
112,0.0,0.0,0.0,test_soc_10
113,0.0,0.0,0.0,test_soc_10
114,0.0,0.0,0.0,test_soc_10
115,0.0,0.0,0.0,test_soc_10
116,0.0,0.0,0.0,test_soc_10
117,0.0,0.0,0.0,test_soc_10
118,0.0,0.0,0.0,test_soc_10
119,0.0,0.0,0.0,test_soc_10
120,0.0,0.0,0.0,test_soc_10
0,0.0,0.0,0.0,test_soc_15
1,34.0,14.0,7.0,test_soc_15
2,71.0,29.0,15.0,test_soc_15
3,110.0,45.0,23.0,test_soc_15
4,152.0,62.0,32.0,test_soc_15
5,197.0,80.0,41.0,test_soc_15
6,245.0,100.0,51.0,test_soc_15
7,297.0,121.0,62.0,test_soc_15
8,318.0,143.0,73.0,test_soc_15
9,340.0,167.0,85.0,test_soc_15
10,364.0,178.0,98.0,test_soc_15
11,389.0,190.0,105.0,test_soc_15
12,416.0,203.0,112.0,test_soc_15
13,445.0,217.0,120.0,test_soc_15
14,475.0,232.0,128.0,test_soc_15
15,507.0,247.0,137.0,test_soc_15
16,541.0,263.0,146.0,test_soc_15
17,577.0,281.0,155.0,test_soc_15
18,615.0,299.0,165.0,test_soc_15
19,655.0,319.0,176.0,test_soc_15
20,696.0,340.0,187.0,test_soc_15
21,740.0,362.0,199.0,test_soc_15
22,786.0,385.0,211.0,test_soc_15
23,834.0,409.0,224.0,test_soc_15
24,884.0,434.0,237.0,test_soc_15
25,936.0,460.0,251.0,test_soc_15
26,990.0,487.0,266.0,test_soc_15
27,1047.0,515.0,281.0,test_soc_15
28,1105.0,544.0,297.0,test_soc_15
29,1165.0,574.0,313.0,test_soc_15
30,1227.0,604.0,330.0,test_soc_15
31,1290.0,635.0,347.0,test_soc_15
32,1355.0,667.0,365.0,test_soc_15
33,1420.0,700.0,383.0,test_soc_15
34,1485.0,733.0,401.0,test_soc_15
35,1551.0,766.0,419.0,test_soc_15
36,1617.0,800.0,437.0,test_soc_15
37,1681.0,833.0,456.0,test_soc_15
38,1744.0,865.0,474.0,test_soc_15
39,1805.0,897.0,492.0,test_soc_15
40,1864.0,928.0,509.0,test_soc_15
41,1920.0,958.0,526.0,test_soc_15
42,1971.0,986.0,542.0,test_soc_15
43,2017.0,1012.0,556.0,test_soc_15
44,2058.0,1036.0,570.0,test_soc_15
45,2093.0,1056.0,582.0,test_soc_15
46,2121.0,1074.0,593.0,test_soc_15
47,2141.0,1088.0,601.0,test_soc_15
48,2153.0,1098.0,608.0,test_soc_15
49,2156.0,1104.0,612.0,test_soc_15
50,2149.0,1105.0,614.0,test_soc_15
