day,hosp,icu,vent,scenario
0,456.99999999999994,182.79999999999998,91.39999999999999,test_soc_5
1,490.8131527723233,196.3252611089293,98.16263055446466,test_soc_5
2,527.0607142199075,210.82428568796297,105.41214284398148,test_soc_5
3,565.9075663884987,226.36302655539947,113.18151327769974,test_soc_5
4,607.5281557631763,243.01126230527052,121.50563115263526,test_soc_5
5,652.106794967172,260.8427179868688,130.4213589934344,test_soc_5
6,699.8379296698643,279.93517186794566,139.96758593397283,test_soc_5
7,750.9263610146767,300.37054440587065,150.18527220293532,test_soc_5
8,805.5874124719732,322.2349649887892,161.1174824943946,test_soc_5
9,864.0470284938197,345.61881139752785,172.80940569876392,test_soc_5
10,926.5417907014905,370.61671628059617,185.30835814029808,test_soc_5
11,993.3188355825894,397.3275342330357,198.66376711651785,test_soc_5
12,1064.6356558289008,425.8542623315603,212.92713116578014,test_soc_5
13,1140.759765532626,456.3039062130504,228.1519531065252,test_soc_5
14,1221.968207511189,488.78728300447557,244.39364150223778,test_soc_5
15,1308.5468790944087,523.4187516377634,261.7093758188817,test_soc_5
16,1400.7896508410643,560.3158603364258,280.1579301682129,test_soc_5
17,1498.997250928639,599.5989003714557,299.79945018572784,test_soc_5
18,1603.4758864718387,641.3903545887354,320.6951772943677,test_soc_5
19,1714.5355718830212,685.8142287532085,342.9071143766042,test_soc_5
20,1832.4881337225497,732.9952534890199,366.49762674450994,test_soc_5
21,1957.6448614525764,783.0579445810306,391.5289722905153,test_soc_5
22,2090.313774279004,836.1255097116016,418.0627548558008,test_soc_5
23,2230.796476038999,892.3185904155997,446.15929520779986,test_soc_5
24,2379.3845730790686,951.7538292316273,475.87691461581363,test_soc_5
25,2536.3556344977997,1014.5422537991199,507.27112689955993,test_soc_5
26,2701.9686802299984,1080.7874720919992,540.3937360459996,test_soc_5
27,2876.459190452173,1150.5836761808691,575.2918380904346,test_soc_5
28,3060.033639901589,1224.0134559606356,612.0067279803178,test_soc_5
29,3252.863573094242,1301.1454292376966,650.5727146188483,test_soc_5
