day,hosp_census,icu_census,vent_census,scenario,hosp_admit,icu_admit,vent_admit,vent_census_ped,vent_census_adult
0,0.0,0.0,0.0,test_soc_5,0.0,0.0,0.0,0,0.0
1,34.0,14.0,7.0,test_soc_5,34.0,14.0,7.0,1,6.0
2,71.0,29.0,15.0,test_soc_5,37.0,15.0,8.0,2,13.0
3,110.0,45.0,23.0,test_soc_5,39.0,16.0,8.0,3,20.0
4,152.0,62.0,32.0,test_soc_5,42.0,17.0,9.0,4,28.0
5,197.0,80.0,41.0,test_soc_5,45.0,18.0,9.0,5,36.0
6,245.0,100.0,51.0,test_soc_5,48.0,20.0,10.0,6,45.0
7,297.0,121.0,62.0,test_soc_5,52.0,21.0,11.0,7,55.0
8,318.0,143.0,73.0,test_soc_5,55.0,22.0,11.0,8,65.0
9,340.0,167.0,85.0,test_soc_5,59.0,24.0,12.0,9,76.0
10,364.0,178.0,98.0,test_soc_5,63.0,25.0,13.0,10,88.0
11,389.0,190.0,105.0,test_soc_5,67.0,27.0,14.0,11,94.0
12,416.0,203.0,112.0,test_soc_5,72.0,29.0,15.0,12,100.0
13,445.0,217.0,120.0,test_soc_5,77.0,31.0,16.0,12,108.0
14,475.0,232.0,128.0,test_soc_5,82.0,33.0,17.0,13,115.0
15,507.0,247.0,137.0,test_soc_5,87.0,35.0,18.0,14,123.0
16,541.0,263.0,146.0,test_soc_5,93.0,37.0,19.0,15,131.0
17,577.0,281.0,155.0,test_soc_5,99.0,40.0,20.0,16,139.0
18,615.0,299.0,165.0,test_soc_5,105.0,42.0,21.0,17,148.0
19,655.0,319.0,176.0,test_soc_5,112.0,45.0,23.0,18,158.0
20,696.0,340.0,187.0,test_soc_5,118.0,48.0,24.0,19,168.0
21,740.0,362.0,199.0,test_soc_5,126.0,51.0,26.0,20,179.0
22,786.0,385.0,211.0,test_soc_5,133.0,54.0,27.0,22,189.0
23,834.0,409.0,224.0,test_soc_5,141.0,57.0,29.0,23,201.0
24,884.0,434.0,237.0,test_soc_5,149.0,60.0,30.0,24,213.0
25,936.0,460.0,251.0,test_soc_5,157.0,63.0,32.0,26,225.0
26,990.0,487.0,266.0,test_soc_5,166.0,67.0,34.0,27,239.0
27,1047.0,515.0,281.0,test_soc_5,175.0,70.0,35.0,29,252.0
28,1105.0,544.0,297.0,test_soc_5,184.0,74.0,37.0,30,267.0
29,1165.0,574.0,313.0,test_soc_5,193.0,78.0,39.0,32,281.0
30,1227.0,604.0,330.0,test_soc_5,203.0,81.0,41.0,33,297.0
31,1290.0,635.0,347.0,test_soc_5,212.0,85.0,43.0,35,312.0
32,1355.0,667.0,365.0,test_soc_5,222.0,89.0,45.0,37,328.0
33,1420.0,700.0,383.0,test_soc_5,231.0,93.0,47.0,39,344.0
34,1485.0,733.0,401.0,test_soc_5,240.0,96.0,48.0,41,360.0
35,1551.0,766.0,419.0,test_soc_5,250.0,100.0,50.0,42,377.0
36,1617.0,800.0,437.0,test_soc_5,259.0,104.0,52.0,44,393.0
37,1681.0,833.0,456.0,test_soc_5,267.0,107.0,54.0,46,410.0
38,1744.0,865.0,474.0,test_soc_5,275.0,110.0,55.0,48,426.0
39,1805.0,897.0,492.0,test_soc_5,283.0,113.0,57.0,50,442.0
