,day,date,hospitalized,icu,ventilated
0,-39,2020-02-20,,,
1,-38,2020-02-21,0.26063568643129265,0.07819070592938776,0.05212713728625851
2,-37,2020-02-22,0.30994780361612073,0.09298434108483616,0.061989560723224146
3,-36,2020-02-23,0.36858876840656607,0.11057663052196992,0.07371775368131317
4,-35,2020-02-24,0.4383230045117259,0.13149690135351766,0.08766460090234518
5,-34,2020-02-25,0.5212484848145089,0.1563745454443528,0.10424969696290182
6,-33,2020-02-26,0.6198597166427717,0.18595791499283132,0.12397194332855432
7,-32,2020-02-27,0.7371225920430557,0.22113677761291695,0.14742451840861126
8,-31,2020-02-28,0.8765633262449724,0.2629689978734915,0.17531266524899436
9,-30,2020-02-29,1.0423741191245721,0.3127122357373717,0.20847482382491433
10,-29,2020-03-01,1.2395386602445297,0.37186159807335883,0.24790773204890604
11,-28,2020-03-02,1.473981170454838,0.4421943511364508,0.29479623409096756
12,-27,2020-03-03,1.7527433462982547,0.5258230038894771,0.35054866925965156
13,-26,2020-03-04,2.0841943635917453,0.6252583090775232,0.4168388727183485
14,-25,2020-03-05,2.478280021331585,0.7434840063994756,0.49565600426631695
15,-24,2020-03-06,2.9468181858690787,0.884045455760722,0.5893636371738151
16,-23,2020-03-07,3.503848948669013,1.0511546846007054,0.700769789733803
17,-22,2020-03-08,4.166049359819457,1.249814807945838,0.8332098719638923
18,-21,2020-03-09,4.953224263771183,1.4859672791313532,0.9906448527542357
19,-20,2020-03-10,5.8888866603933,1.7666659981179915,1.1777773320786604
20,-19,2020-03-11,7.000943153724172,2.100282946117252,1.4001886307448341
21,-18,2020-03-12,8.322502431663082,2.496750729498924,1.6645004863326154
22,-17,2020-03-13,9.892827322227184,2.967848196668152,1.9785654644454382
23,-16,2020-03-14,11.758453746026738,3.5275361238080194,2.3516907492053445
24,-15,2020-03-15,13.974502735048446,4.192350820514534,2.794900547009691
25,-14,2020-03-16,16.606214451970516,4.981864335591155,3.3212428903941067
26,-13,2020-03-17,19.730735560936225,5.919220668280865,3.9461471121872442
27,-12,2020-03-18,23.4391929676366,7.031757890290983,4.687838593527317
28,-11,2020-03-19,27.839087261695056,8.351726178508521,5.567817452339014
29,-10,2020-03-20,33.05703727755349,9.917111183266051,6.611407455510701
30,-9,2020-03-21,39.24190177951155,11.772570533853454,7.8483803559023
31,-8,2020-03-22,46.568293595526285,13.97048807865788,9.313658719105256
32,-7,2020-03-23,55.240483114963354,16.572144934489017,11.048096622992666
33,-6,2020-03-24,65.49665859068324,19.648997577204966,13.099331718136668
34,-5,2020-03-25,77.61346570965009,23.284039712895023,15.522693141930006
35,-4,2020-03-26,91.91068266921081,27.57320480076325,18.38213653384217
36,-3,2020-03-27,108.75579230321216,32.62673769096364,21.751158460642415
37,-2,2020-03-28,128.56808097881174,38.5704242936435,25.71361619576234
38,-1,2020-03-29,151.8217152864736,45.546514585942106,30.364343057294718
39,0,2020-03-30,179.04701216563217,53.714103649689605,35.80940243312642
40,1,2020-03-31,145.471884626862,43.641565388058666,29.094376925372416
41,2,2020-04-01,159.8954860834226,47.96864582502678,31.979097216684522
42,3,2020-04-02,175.57774145036728,52.67332243511015,35.11554829007349
43,4,2020-04-03,192.5914613106363,57.77743839319089,38.518292262127204
44,5,2020-04-04,211.00537625107518,63.30161287532246,42.20107525021501
45,6,2020-04-05,230.8818297049272,69.26454891147819,46.17636594098548
46,7,2020-04-06,252.27405479023946,75.68221643707182,50.4548109580478
47,8,2020-04-07,275.2230188968492,82.56690566905479,55.044603779369936
48,9,2020-04-08,299.7538372915992,89.92615118747972,59.95076745831989
49,10,2020-04-09,325.871781288452,97.76153438653569,65.17435625769042
50,11,2020-04-10,353.5579384014927,106.06738152044773,70.71158768029841
51,12,2020-04-11,382.7646217812385,114.82938653437168,76.55292435624779
52,13,2020-04-12,413.41067385325096,124.02320215597501,82.68213477065012
53,14,2020-04-13,445.37686313927225,133.61305894178167,89.07537262785445
54,15,2020-04-14,478.50163108998186,143.5504893269947,95.70032621799635
55,16,2020-04-15,512.5775030663808,153.7732509199143,102.51550061327612
56,17,2020-04-16,547.3485281814219,164.2045584544262,109.46970563628406
57,18,2020-04-17,582.5091485306384,174.7527445591918,116.50182970612809
58,19,2020-04-18,617.7049099303331,185.31147297910002,123.54098198606675
59,20,2020-04-19,652.53540357582,195.76062107274583,130.50708071516374
60,21,2020-04-20,686.559761745466,205.96792852363978,137.31195234909342
61,22,2020-04-21,719.3049141850042,215.79147425550127,143.86098283700062
62,23,2020-04-22,750.2766433517609,225.0829930055279,150.05532867035208
63,24,2020-04-23,778.9732615463308,233.6919784638999,155.79465230926644
64,25,2020-04-24,804.9014849968098,241.47044549904285,160.98029699936205
65,26,2020-04-25,827.5938220979388,248.2781466293818,165.51876441958802
66,27,2020-04-26,846.6265558166924,253.98796674500727,169.32531116333848
67,28,2020-04-27,861.6372185615801,258.49116556847366,172.32744371231502
