,day,date,hospitalized,icu,ventilated
0,-39,2020-02-20,,,
1,-38,2020-02-21,1.0,1.0,1.0
2,-37,2020-02-22,1.0,1.0,1.0
3,-36,2020-02-23,1.0,1.0,1.0
4,-35,2020-02-24,2.0,1.0,1.0
5,-34,2020-02-25,2.0,1.0,1.0
6,-33,2020-02-26,3.0,1.0,1.0
7,-32,2020-02-27,4.0,1.0,1.0
8,-31,2020-02-28,4.0,2.0,1.0
9,-30,2020-02-29,5.0,2.0,2.0
10,-29,2020-03-01,6.0,2.0,2.0
11,-28,2020-03-02,7.0,3.0,2.0
12,-27,2020-03-03,8.0,3.0,2.0
13,-26,2020-03-04,10.0,4.0,3.0
14,-25,2020-03-05,11.0,4.0,3.0
15,-24,2020-03-06,14.0,5.0,4.0
16,-23,2020-03-07,16.0,6.0,4.0
17,-22,2020-03-08,19.0,7.0,5.0
18,-21,2020-03-09,22.0,8.0,6.0
19,-20,2020-03-10,27.0,9.0,7.0
20,-19,2020-03-11,31.0,11.0,8.0
21,-18,2020-03-12,37.0,13.0,9.0
22,-17,2020-03-13,44.0,15.0,11.0
23,-16,2020-03-14,52.0,18.0,13.0
24,-15,2020-03-15,62.0,21.0,15.0
25,-14,2020-03-16,74.0,25.0,18.0
26,-13,2020-03-17,88.0,30.0,21.0
27,-12,2020-03-18,104.0,35.0,25.0
28,-11,2020-03-19,124.0,42.0,29.0
29,-10,2020-03-20,147.0,50.0,35.0
30,-9,2020-03-21,174.0,59.0,41.0
31,-8,2020-03-22,207.0,70.0,49.0
32,-7,2020-03-23,246.0,83.0,58.0
33,-6,2020-03-24,291.0,99.0,69.0
34,-5,2020-03-25,346.0,117.0,81.0
35,-4,2020-03-26,410.0,139.0,97.0
36,-3,2020-03-27,485.0,164.0,114.0
37,-2,2020-03-28,575.0,194.0,135.0
38,-1,2020-03-29,680.0,230.0,160.0
39,0,2020-03-30,804.0,272.0,189.0
40,1,2020-03-31,884.0,302.0,211.0
41,2,2020-04-01,966.0,333.0,233.0
42,3,2020-04-02,1050.0,366.0,257.0
43,4,2020-04-03,1133.0,401.0,283.0
44,5,2020-04-04,1216.0,436.0,309.0
45,6,2020-04-05,1295.0,473.0,337.0
46,7,2020-04-06,1368.0,510.0,366.0
47,8,2020-04-07,1498.0,547.0,395.0
48,9,2020-04-08,1638.0,583.0,425.0
