,day,date,susceptible,infected,recovered
0,-39,2020-02-20,5026101.0,125.0,0.0
1,-38,2020-02-21,5026068.420539197,148.65088937534014,8.92857142857143
2,-37,2020-02-22,5026029.6770637445,176.77644415768805,19.54649209823858
3,-36,2020-02-23,5025983.603467694,210.22315134010256,32.17338096664487
4,-35,2020-02-24,5025928.813092129,249.99758752263236,47.18932034808077
5,-34,2020-02-25,5025863.657031527,297.29667758711514,65.04629088541164
6,-33,2020-02-26,5025786.174566947,353.54366519695327,86.28176785591988
7,-32,2020-02-27,5025694.034242941,420.4308702596959,111.53488679855937
8,-31,2020-02-28,5025584.463827161,499.9705095931962,141.56566324568053
9,-30,2020-02-29,5025454.16706227,594.5550952271108,177.2778425023374
10,-29,2020-03-01,5025299.22472974,707.0292066700263,219.74606358998815
11,-28,2020-03-02,5025114.977083433,840.7747667861648,270.2481497807043
12,-27,2020-03-03,5024895.884165146,999.8123445887209,330.30349026543036
13,-26,2020-03-04,5024635.359869697,1188.9214725670658,401.7186577360533
14,-25,2020-03-05,5024325.574867031,1413.783512907295,486.64162006227224
15,-24,2020-03-06,5023957.222593796,1681.1512495046943,587.6261566985075
16,-23,2020-03-07,5023519.241475212,1999.0501359808432,707.7083888059857
17,-22,2020-03-08,5022998.485305236,2377.017010531072,850.497684233189
18,-21,2020-03-09,5022379.332272264,2826.3831141788214,1020.284613556837
19,-20,2020-03-10,5021643.2214397155,3360.6094385723545,1222.1691217124671
20,-19,2020-03-11,5020768.1035455,3995.683801461279,1462.2126530390638
21,-18,2020-03-12,5019727.790741542,4750.590619600501,1747.6186388577266
22,-17,2020-03-13,5018491.187326264,5647.866133478863,2086.9465402577625
23,-16,2020-03-14,5017021.38060801,6714.253842198001,2490.365549791967
24,-15,2020-03-15,5015274.567766129,7981.477123922055,2969.955109948967
25,-14,2020-03-16,5013198.790959633,9487.148421566795,3540.0606188005427
26,-13,2020-03-17,5010732.449014516,11275.836908000481,4217.714077483885
27,-12,2020-03-18,5007802.549893561,13400.319106955021,5023.130999483919
