,day,date,hospitalized,icu,ventilated
0,-40,2020-02-20,,,
1,-39,2020-02-21,0.23795761100468793,0.07138728330140631,0.04759152220093757
2,-38,2020-02-22,0.27758282066725615,0.08327484620017683,0.05551656413345121
3,-37,2020-02-23,0.32380579485882555,0.09714173845764762,0.0647611589717651
4,-36,2020-02-24,0.3777248330351757,0.11331744991055281,0.07554496660703519
5,-35,2020-02-25,0.44062097108091036,0.13218629132427295,0.088124194216182
6,-34,2020-02-26,0.5139883518777899,0.15419650556333697,0.10279767037555798
7,-33,2020-02-27,0.5995696313897803,0.1798708894169343,0.11991392627795616
8,-32,2020-02-28,0.6993972508202746,0.2098191752460823,0.13987945016405479
9,-31,2020-02-29,0.8158415408164359,0.24475246224493064,0.1631683081632872
10,-30,2020-03-01,0.95166678062379,0.285500034187137,0.190333356124758
11,-29,2020-03-02,1.110096516737908,0.3330289550213723,0.22201930334758146
12,-28,2020-03-03,1.2948896555661875,0.38846689666985634,0.25897793111323764
13,-27,2020-03-04,1.510429086925127,0.4531287260775385,0.3020858173850256
14,-26,2020-03-05,1.7618248743048603,0.5285474622914572,0.3523649748609716
15,-25,2020-03-06,2.055034368584577,0.6165103105753729,0.4110068737169157
16,-24,2020-03-07,2.3970019694852027,0.719100590845561,0.47940039389704037
17,-23,2020-03-08,2.7958216789545745,0.8387465036863722,0.5591643357909146
18,-22,2020-03-09,3.260926068427416,0.9782778205282243,0.6521852136854833
19,-21,2020-03-10,3.8033058228126215,1.1409917468437882,0.7606611645625252
20,-20,2020-03-11,4.435764632827315,1.3307293898481927,0.8871529265654621
21,-19,2020-03-12,5.173214887344763,1.5519644662034295,1.0346429774689536
22,-18,2020-03-13,6.033020369990062,1.8099061109970194,1.2066040739980135
23,-17,2020-03-14,7.035392987039856,2.110617896111954,1.4070785974079687
24,-16,2020-03-15,8.203851439160651,2.461155431748196,1.6407702878321295
25,-15,2020-03-16,9.565750682150593,2.869725204645178,1.9131501364301204
26,-14,2020-03-17,11.152891974706847,3.3458675924120556,2.2305783949413716
27,-13,2020-03-18,13.002224241201901,3.900667272360568,2.600444848240377
28,-12,2020-03-19,15.156648318706388,4.546994495611919,3.0313296637412783
29,-11,2020-03-20,17.665936312967588,5.299780893890272,3.533187262593522
30,-10,2020-03-21,20.58777861796439,6.176333585389315,4.117555723592876
31,-9,2020-03-22,23.98897096070982,7.1966912882129535,4.797794192141968
32,-8,2020-03-23,27.946752843183162,8.384025852954949,5.5893505686366325
33,-7,2020-03-24,32.55030659177851,9.765091977533537,6.510061318355689
34,-6,2020-03-25,37.90242238576133,11.37072671572841,7.580484477152268
35,-5,2020-03-26,44.12132844723516,13.236398534170547,8.824265689447039
36,-4,2020-03-27,51.34267615466575,15.402802846399723,10.26853523093314
37,-3,2020-03-28,59.72165605442916,17.916496816328745,11.944331210885835
