day,hospitalized,icu,ventilated
0,,,
1,106.28462656981674,31.885387970945004,21.25692531396335
2,117.49555511758217,35.248666535274594,23.499111023516406
3,129.79600728004846,38.938802184014634,25.95920145600971
4,143.27071565380186,42.981214696140455,28.65414313076036
5,158.0061054257983,47.40183162773951,31.601221085159665
6,174.08902663790172,52.22670799137046,34.817805327580345
7,191.60512997077808,57.481538991233435,38.321025994155605
8,210.63683498389332,63.19105049516804,42.127366996778676
9,231.26084176664995,69.37825252999494,46.25216835332992
10,253.54514298813092,76.06354289643923,50.70902859762617
11,277.54550472618394,83.26365141785527,55.50910094523692
12,303.3014026974224,90.99042080922652,60.66028053948435
13,330.83142711877645,99.24942813563291,66.16628542375531
14,360.12820578540686,108.03846173562238,72.0256411570814
15,391.1529420207462,117.34588260622354,78.23058840414922
16,423.82972214943356,127.14891664483002,84.76594442988664
17,458.0398150614328,137.41194451843012,91.60796301228663
18,493.616261558378,148.08487846751336,98.72325231167554
19,530.339128568854,159.10173857065638,106.06782571377107
20,567.9318754531769,170.37956263595288,113.58637509063533
21,606.0593362305599,181.8178008691675,121.21186724611175
22,644.3278500016622,193.2983550004992,128.86557000033258
23,682.2880580414776,204.686417412443,136.45761160829534
24,719.4408162897525,215.83224488692576,143.8881632579505
25,755.2465354822907,226.5739606446873,151.04930709645828
26,789.1380532649691,236.74141597949074,157.8276106529936
27,820.536868050247,246.16106041507373,164.10737361004976
28,848.8722399381404,254.66167198144194,169.7744479876278
29,873.6023197198483,262.0806959159545,174.72046394396966
30,894.2361444872422,268.270843346173,178.84722889744853
31,910.3550864352856,273.1065259305851,182.07101728705675
32,921.6322082537736,276.48966247613316,184.32644165075544
33,927.8480020889147,278.35440062667385,185.56960041778257
34,928.9011877440025,278.6703563231995,185.78023754879996
35,924.8136112565517,277.4440833769668,184.96272225131133
36,915.7287802696155,274.71863408088484,183.14575605392247
37,901.9041363907891,270.57124091723745,180.38082727815845
38,883.6977215932384,265.1093164779704,176.73954431864695
39,861.5503701750531,258.4651110525165,172.31007403501098
40,835.9648887072544,250.7894666121765,167.1929777414507
41,807.4838380447181,242.24515141341453,161.49676760894363
42,776.6674986880134,233.0002496064044,155.33349973760323
43,744.0734072126797,223.22202216380447,148.8146814425354
44,710.2385420191677,213.07156260574993,142.0477084038339
45,675.6648665806752,202.6994599742011,135.13297331613467
46,640.8085621924074,192.2425686577235,128.16171243848112
47,606.0729448162601,181.82188344487622,121.21458896325203
48,571.804792010902,171.54143760327133,114.36095840218059
49,538.2936201362572,161.48808604087935,107.65872402725108
50,505.7733489143029,151.73200467428978,101.15466978286076
51,474.425759650956,142.32772789528462,94.88515193019066
52,444.3851787706699,133.3155536312006,88.87703575413434
53,415.7438817476832,124.72316452430641,83.148776349537
54,388.55779714494565,116.56733914348479,77.71155942898986
55,362.85218236336004,108.85565470900838,72.57043647267164
56,338.62703163153856,101.5881094894612,67.72540632630808
57,315.8620561638236,94.75861684914707,63.172411232764716
58,294.52114284774507,88.35634285432388,58.90422856954865
59,274.55625025442714,82.36687507632814,54.91125005088543
60,255.9107397933767,76.7732219380141,51.18214795867516
61,238.52216702123405,71.55665010636949,47.70443340424754
62,222.32457547947706,66.69737264384275,44.464915095895776
63,207.25034507897362,62.17510352369027,41.450069015792906
64,193.23165092764975,57.969495278293834,38.64633018552922
65,180.20158830496075,54.06047649148968,36.04031766099433
66,168.09501660409296,50.42850498122971,33.6190033208195
67,156.84917056525592,47.05475116957314,31.369834113048455
68,146.40408180742816,43.92122454223136,29.28081636148727
69,136.70284809634177,41.01085442890144,27.340569619267626
70,127.69178233999264,38.3075347019967,25.53835646799871
71,119.32046821787662,35.79614046536517,23.86409364357587
72,111.54174475069158,33.46252342520529,22.30834895013686
73,104.31163806563563,31.293491419692145,20.86232761312931
74,97.58925511054986,29.276776533164593,19.517851022109426
75,91.33665109335561,27.40099532800741,18.267330218670395
76,85.51867993021733,25.655603979064836,17.10373598604383
77,80.10283492042072,24.030850476126943,16.020566984084326
78,75.05908517653006,22.517725552957927,15.011817035305285
79,70.3597119686965,21.107913590609314,14.071942393739846
80,65.97914804433822,19.793744413302193,13.195829608867825
81,61.89382211078191,18.568146633233482,12.378764422156564
82,58.082009983903845,17.4246029951737,11.616401996780041
83,54.52369337138953,16.35710801141431,10.904738674278633
84,51.200426849289215,15.3601280547864,10.240085369856388
85,48.09521328057599,14.428563984174616,9.619042656116108
86,45.192387692477496,13.557716307743249,9.0384775384955
87,42.477509460433794,12.743252838130502,8.495501892086395
88,39.93726252788474,11.981178758362148,7.987452505576584
89,37.55936330859549,11.267808992579376,7.511872661719281
90,35.33247586723883,10.599742760174195,7.066495173447947
91,33.2461339442234,9.973840183265565,6.649226788846136
92,31.29066937789321,9.387200813367599,6.258133875578096
93,29.45714647751447,8.837143943253977,5.891429295502348
94,27.737301909051894,8.32119057271666,5.547460381810197
95,26.12348967070284,7.837046901211579,5.22469793414075
96,24.608630754897604,7.3825892264667345,4.921726150979339
97,23.186167115345597,6.955850134603679,4.6372334230691195
98,21.850019580910157,6.555005874275594,4.370003916183123
99,20.59454938286217,6.178364814857559,4.118909876571706
100,19.41452298508375,5.8243568955240335,3.882904597015113
101,18.3050799312623,5.491523979379053,3.6610159862530054
102,17.261703444790328,5.178511033438554,3.452340688959339
103,16.280193539096217,4.884058061728865,3.256038707818334
104,15.35664241608174,4.606992724822703,3.0713284832154386
105,14.487411949674424,4.3462235849037825,2.8974823899352486
106,13.669113068455772,4.100733920537095,2.7338226136926096
107,12.89858686869411,3.8695760606096883,2.5797173737382764
108,12.172887302855088,3.65186619085398,2.4345774605708357
109,11.489265304102446,3.4467795912332804,2.297853060820671
110,10.845154218426615,3.253546265525074,2.169030843685505
111,10.238156428917137,3.0714469286776875,2.047631285783609
112,9.666031066437426,2.8998093199297728,1.933206213286212
113,9.126682711335889,2.73800481339822,1.8253365422669958
114,8.618150998911005,2.5854452996754844,1.7236301997827468
115,8.1386010500064,2.441580315004103,1.6277202100027353
116,7.686314654893067,2.305894396466101,1.537262930977704
117,7.259682145340776,2.1779046436022327,1.4519364290681551
118,6.857194896154397,2.057158468845955,1.3714389792303336
119,6.477438401874679,1.9432315205631312,1.2954876803760271
120,,,
