day,hospitalized,icu,ventilated
0,,,
1,107.0,32.0,22.0
2,224.0,68.0,45.0
3,354.0,107.0,71.0
4,497.0,150.0,100.0
5,655.0,197.0,131.0
6,829.0,249.0,166.0
7,1021.0,307.0,205.0
8,1125.0,370.0,247.0
9,1239.0,439.0,293.0
10,1363.0,483.0,344.0
11,1497.0,531.0,378.0
12,1642.0,583.0,415.0
13,1799.0,640.0,455.0
14,1968.0,700.0,499.0
15,2148.0,766.0,545.0
16,2341.0,835.0,595.0
17,2545.0,909.0,649.0
18,2761.0,988.0,705.0
19,2988.0,1071.0,765.0
20,3226.0,1158.0,828.0
21,3471.0,1249.0,894.0
22,3725.0,1343.0,962.0
23,3983.0,1440.0,1032.0
24,4245.0,1538.0,1104.0
25,4506.0,1638.0,1177.0
26,4765.0,1737.0,1250.0
27,5018.0,1835.0,1322.0
28,5260.0,1931.0,1393.0
29,5490.0,2022.0,1462.0
30,5702.0,2109.0,1527.0
31,5892.0,2189.0,1588.0
32,6059.0,2260.0,1644.0
33,6198.0,2323.0,1693.0
34,6306.0,2375.0,1735.0
35,6382.0,2416.0,1768.0
36,6424.0,2444.0,1794.0
37,6432.0,2460.0,1810.0
38,6405.0,2463.0,1817.0
39,6345.0,2453.0,1815.0
40,6253.0,2431.0,1803.0
41,6132.0,2397.0,1782.0
42,5983.0,2352.0,1753.0
43,5812.0,2296.0,1717.0
44,5620.0,2232.0,1673.0
45,5412.0,2160.0,1623.0
46,5191.0,2081.0,1568.0
47,4962.0,1998.0,1509.0
48,4726.0,1911.0,1447.0
49,4487.0,1822.0,1382.0
50,4249.0,1731.0,1316.0
51,4013.0,1641.0,1249.0
52,3782.0,1551.0,1183.0
53,3557.0,1462.0,1117.0
54,3339.0,1376.0,1053.0
55,3131.0,1293.0,990.0
56,2931.0,1213.0,930.0
57,2741.0,1136.0,872.0
58,2561.0,1063.0,816.0
59,2391.0,993.0,764.0
60,2231.0,928.0,714.0
61,2081.0,866.0,666.0
62,1941.0,808.0,622.0
63,1809.0,754.0,580.0
64,1687.0,703.0,541.0
65,1572.0,655.0,505.0
66,1466.0,611.0,471.0
67,1367.0,570.0,439.0
68,1275.0,531.0,409.0
69,1189.0,495.0,382.0
70,1110.0,462.0,356.0
71,1036.0,431.0,332.0
72,967.0,403.0,310.0
73,903.0,376.0,289.0
74,844.0,351.0,270.0
75,789.0,328.0,252.0
76,738.0,307.0,236.0
77,690.0,287.0,221.0
78,646.0,268.0,206.0
79,605.0,251.0,193.0
80,566.0,235.0,181.0
81,531.0,220.0,169.0
82,497.0,206.0,159.0
83,467.0,193.0,149.0
84,438.0,181.0,139.0
85,411.0,170.0,131.0
86,385.0,160.0,123.0
87,362.0,150.0,115.0
88,340.0,141.0,108.0
89,319.0,132.0,101.0
90,300.0,124.0,95.0
91,282.0,117.0,90.0
92,266.0,110.0,84.0
93,250.0,103.0,79.0
94,235.0,97.0,75.0
95,221.0,91.0,70.0
96,208.0,86.0,66.0
97,196.0,81.0,62.0
98,185.0,76.0,59.0
99,174.0,72.0,55.0
100,164.0,68.0,52.0
101,155.0,64.0,49.0
102,146.0,60.0,46.0
103,137.0,57.0,44.0
104,130.0,54.0,41.0
105,122.0,51.0,39.0
106,115.0,48.0,37.0
107,109.0,45.0,35.0
108,103.0,42.0,33.0
109,97.0,40.0,31.0
110,91.0,38.0,29.0
111,86.0,36.0,
112,81.0,,
113,77.0,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
