day,hospitalized,icu,ventilated
0,591.0,177.3,118.2
1,697.2846265698167,209.18538797094502,139.45692531396335
2,814.7801816873989,244.4340545062196,162.95603633747976
3,944.5761889674474,283.37285669023424,188.91523779348947
4,1087.8469046212492,326.3540713863747,217.56938092424983
5,1245.8530100470475,373.7559030141142,249.1706020094095
6,1419.9420366849492,425.98261100548467,283.98840733698984
7,1611.5471666557273,483.4641499967181,322.30943333114544
8,1822.1840016396206,546.6552004918861,364.4368003279241
9,2053.4448434062706,616.0334530218811,410.68896868125404
10,2306.9899863944015,692.0969959183203,461.3979972788802
11,2584.5354911205854,775.3606473361756,516.9070982241171
12,2887.836893818008,866.3510681454021,577.5673787636015
13,3218.6683209367843,965.600496281035,643.7336641873568
14,3578.796526722191,1073.6389580166574,715.7593053444382
15,3969.9494687429374,1190.984840622881,793.9898937485874
16,4393.779190892371,1318.133757267711,878.755838178474
17,4851.819005953804,1455.545701786141,970.3638011907607
18,5345.435267512182,1603.6305802536544,1069.0870535024362
19,5875.774396081036,1762.7323188243108,1175.1548792162073
20,6443.706271534213,1933.1118814602637,1288.7412543068426
21,7049.7656077647725,2114.929682329431,1409.9531215529544
22,7694.093457766435,2308.2280373299304,1538.818691553287
23,8376.381515807912,2512.9144547423734,1675.2763031615823
24,9095.822332097665,2728.746699629299,1819.1644664195328
25,9851.068867579956,2955.3206602739865,1970.213773515991
26,10640.206920844925,3192.0620762534772,2128.0413841689847
27,11460.743788895172,3438.223136668551,2292.1487577790344
28,12309.616028833312,3692.884808649993,2461.9232057666622
29,13183.21834855316,3954.9655045659474,2636.643669710632
30,14077.454493040403,4223.23634791212,2815.4908986080804
31,14987.809579475688,4496.342873842706,2997.561915895137
32,15909.441787729462,4772.832536318839,3181.8883575458926
33,16837.289789818376,5051.186936945513,3367.457957963675
34,17766.19097756238,5329.857293268712,3553.238195512475
35,18691.00458881893,5607.301376645679,3738.2009177637865
36,19606.733369088546,5882.020010726564,3921.346673817709
37,20508.637505479335,6152.591251643801,4101.727501095867
38,21392.335227072574,6417.7005681217715,4278.467045414514
39,22253.885597247627,6676.165679174288,4450.777119449525
40,23089.85048595488,6926.9551457864645,4617.970097190976
41,23897.3343239996,7169.200297199879,4779.46686479992
42,24674.001822687613,7402.2005468062835,4934.800364537523
43,25418.075229900292,7625.422568970088,5083.615045980058
44,26128.31377191946,7838.494131575838,5225.662754383892
