day,susceptible,infected,recovered
0,5026226.0,73875.0,0.0
1,5012940.421678773,81883.79260694138,5276.785714285714
2,4998253.477289076,90721.89466757189,11125.628043352956
3,4982028.976379069,100466.26024417998,17605.763376750943
4,4964120.136922345,111198.93825489233,24781.924822763805
5,4944369.37374412,123006.92012919624,32724.706126684687
6,4922608.245414382,135981.83987827707,41510.91470734156
7,4898657.604168034,150219.49256189025,51223.903270075636
8,4872327.999795048,165819.1331804562,61953.867024496365
9,4843420.394574217,182882.5146026834,73798.09082310039
10,4811727.251700699,201512.62071886525,86861.1275804349
11,4777034.063609927,221812.05018686212,101254.88620321102
12,4739121.388272748,243881.00765354978,117098.60407370114
13,4697767.459882902,267814.86406814324,134518.67604895472
14,4652751.434159727,293701.2566435946,153648.30919667927
15,4603857.316407133,321616.7132073597,174626.97038550742
16,4550878.601138454,351622.80610408465,197599.59275746168
17,4493623.624255774,383761.8682650435,222715.50747918195
18,4431921.5915609775,418052.3389409089,250127.06949811368
19,4365629.20048987,454483.8486590937,279987.95085103577
20,4294637.7160582235,493012.20104366273,312451.0828981139
21,4218880.299029403,533554.4608550781,347666.24011551833
22,4138339.3177791955,575984.4091870661,385777.2730337382
23,4053053.310524012,620128.6729288888,426919.01654710015
24,3963123.2084877915,665763.8697559017,471213.9217563064
25,3868717.3915525065,712615.1245657663,518768.483881728
26,3770075.1348943855,760356.3008977611,569669.5642078542
27,3667508.0263881045,808612.245054202,623980.7285576942
28,3561398.996395837,856963.2575425981,681738.7460615658
29,3452198.7064308547,904951.8862545365,742950.4073146085
30,3340419.1883699493,952091.983868689,807589.827761361
31,3226624.802565539,997879.7993967648,875596.3980376959
32,3111420.776533818,1041806.6969001461,946873.5265660365
33,2995439.776272703,1083372.9330969646,1021288.2906303327
34,2879327.1278047035,1122101.8006294665,1098672.0715658301
35,2763725.426397634,1157553.3734201454,1178822.2001822207
36,2649259.3288639323,1189337.0871381226,1261504.5839979453
37,2536521.311815083,1217122.4551056772,1346457.2330792397
38,2426059.096615928,1240647.352082998,1433394.5513010737
39,2318365.3003440467,1259723.4803489512,1522012.2193070021
40,2213869.68925564,1274238.8428410043,1611992.4679033558
41,2112934.20950005,1284157.262393665,1703009.5281062848
42,2015850.7721640486,1289515.180987262,1794735.0468486894
43,1922841.5962624634,1290416.1296754712,1886843.2740620654
44,1834061.7785100671,1287023.3667367622,1979015.8547531704
45,1749603.6701874835,1279551.2345781487,2070946.0952343678
46,1669502.5999134323,1268255.7880966181,2162342.61198995
47,1593743.4818114005,1253425.2070488916,2252932.3111397084
48,1522267.8828100376,1235370.4341181908,2342462.683071772
49,1454981.1802930052,1214416.3913410667,2430703.4283659286
50,1391759.511678717,1190894.0320024213,2517447.456318862
51,1332456.291722348,1165133.3925300462,2602511.315747606
52,1276908.1443760144,1137457.7261242338,2685735.129499752
53,1224940.1591575544,1108178.7309052486,2766982.1099371975
54,1176370.434514436,1077592.8319122777,2846137.733573287
55,1131013.9117190158,1045978.4381425353,2923108.6501384494
56,1088685.5327650732,1013594.0715148682,2997821.395720059
57,1049202.7757445944,980677.2519985704,3070220.972256835
58,1012387.6328886267,947444.0197117832,3140269.34739959
59,978068.1016068236,914088.9781570303,3207943.920236146
60,946079.2591326511,880785.7507628435,3273235.9901045053
61,916263.9882549967,847687.7537288662,3336149.258016137
62,888473.4163200622,814929.2003974532,3396698.3832824845
