,day,date,hospitalized,icu,ventilated
0,-36,2020-02-20,,,
1,-35,2020-02-21,0.29473308770811535,0.08841992631243462,0.05894661754162306
2,-34,2020-02-22,0.65527876215666,0.19658362864699797,0.131055752431332
3,-33,2020-02-23,1.0963311801994848,0.32889935405984544,0.21926623603989687
4,-32,2020-02-24,1.6358645582992337,0.49075936748977006,0.3271729116598467
5,-31,2020-02-25,2.2958649841905028,0.6887594952571507,0.4591729968381006
6,-30,2020-02-26,3.1032253188399226,0.9309675956519765,0.6206450637679843
7,-29,2020-02-27,4.09083944352485,1.2272518330574547,0.8181678887049698
8,-28,2020-02-28,5.004207033238437,1.5896820362839654,1.0597880241893103
9,-27,2020-02-29,6.121455740182153,2.033020350701644,1.3553469004677627
10,-26,2020-03-01,7.488072014734863,2.48690103216787,1.7168806389868698
11,-25,2020-03-02,9.159678690766668,3.0420793460727724,2.100162032271557
12,-24,2020-03-03,11.204287974657914,3.7211465335946796,2.568974839338351
13,-23,2020-03-04,13.705052298757629,4.551723917789495,3.1423892874796127
14,-22,2020-03-05,16.763621614124805,5.567578822037746,3.843719299870084
15,-21,2020-03-06,20.504238655305507,6.809986037223639,4.70146275841231
16,-20,2020-03-07,25.078731159224162,8.329387865411437,5.7504480685446095
17,-19,2020-03-08,30.672592652065795,10.187416717816076,7.033231280695058
18,-18,2020-03-09,37.512381925720696,12.459357201734335,8.60179701076801
19,-17,2020-03-10,45.87471633224708,15.237139828848342,10.519626957751338
20,-16,2020-03-11,56.09718596106225,18.63297609887817,12.864212076745089
21,-15,2020-03-12,68.5915746661587,22.78376482948798,15.730098494948493
22,-14,2020-03-13,83.85983910707245,27.856422079718083,19.232572984895217
23,-13,2020-03-14,102.51336658724848,34.054311357348546,23.512110926242784
24,-12,2020-03-15,125.29610270862791,41.6249759338128,28.739727499595674
25,-11,2020-03-16,153.11220386415349,50.869399013213126,35.123390052537594
26,-10,2020-03-17,187.05891586294382,62.15303679211175,42.91566389849526
27,-9,2020-03-18,228.46539006836252,75.91887854167071,52.422771560004435
28,-8,2020-03-19,278.93809366901814,92.70277803051928,64.01524084360798
29,-7,2020-03-20,340.4133078203132,113.15125863749338,78.14029128250843
30,-6,2020-03-21,415.21687269343056,138.0419007655301,95.33604827271645
31,-5,2020-03-22,469.8013003528455,157.40741430754468,108.98167263693303
32,-4,2020-03-23,528.6927957384776,178.72322775858186,124.08998137881862
33,-3,2020-03-24,591.7801235180094,202.0982430349262,140.76901528464742
34,-2,2020-03-25,658.7854027673809,227.62083821263903,159.12063157175504
35,-1,2020-03-26,729.211143210372,255.34844623474777,179.2350287128517
36,0,2020-03-27,802.2754377591992,285.29427294474436,201.18359566175954
37,1,2020-03-28,876.8337633517187,317.41060167034027,225.00972292938772
38,2,2020-03-29,987.6155954193373,351.56810058725193,250.71717298699684
39,3,2020-03-30,1111.2413133857638,387.53055996628177,278.2555824919087
40,4,2020-03-31,1248.8851603598312,435.823401037022,307.5026728179276
41,5,2020-04-01,1401.7415785095113,489.5354730439489,345.50868720308824
42,6,2020-04-02,1570.9977759313854,549.1137419587603,387.6960247514331
43,7,2020-04-03,1757.797677205304,614.9979552761214,434.3871063992184
44,8,2020-04-04,1963.1960002279268,687.6060587756067,485.89184242149685
45,9,2020-04-05,2188.101386003772,767.3158850606236,542.4952215456768
46,10,2020-04-06,2433.2078836406963,854.4427960529752,604.4420716682082
47,11,2020-04-07,2698.9147181090216,949.2131378439271,671.9188637693879
48,12,2020-04-08,2985.235198939147,1051.733638709964,745.0326079070502
49,13,2020-04-09,3291.696904826224,1161.957265298678,823.7871430395252
50,14,2020-04-10,3617.236911035767,1279.646555033998,908.0574565344057
51,15,2020-04-11,3960.0977686449073,1404.3360565896633,997.5630804485759
52,16,2020-04-12,4317.732074014926,1535.29620410351,1091.842081162385
53,17,2020-04-13,4686.725561069539,1671.501664305459,1190.2276484410554
54,18,2020-04-14,5062.750375871333,1811.6078348041954,1291.829738898069
55,19,2020-04-15,5440.561122252613,1953.9396102935386,1395.5245551568178
56,20,2020-04-16,5814.045913852066,2096.4966240215917,1499.9547490817986
57,21,2020-04-17,6176.342574902665,2236.978767823053,1603.543027893134
58,22,2020-04-18,6520.025989461144,2372.83478198014,1704.521238552975
59,23,2020-04-19,6837.3663805727565,2501.3350449646077,1800.9759763116913
60,24,2020-04-20,7120.650386976278,2619.6674498048706,1890.9103436291566
61,25,2020-04-21,7362.5480410266355,2725.0526249077097,1972.3197933744148
62,26,2020-04-22,7556.5004029954835,2814.8720628713227,2043.2782209529291
63,27,2020-04-23,7697.096182553141,2886.800366026135,2102.0288733785196
64,28,2020-04-24,7780.402636685076,2938.9312221527925,2147.073480055883
65,29,2020-04-25,7804.217431642788,2969.886237317356,2177.252500431011
66,30,2020-04-26,7768.214334586739,2978.8965728698295,2191.8096604586262
67,31,2020-04-27,7673.966001592167,2965.849453444176,2190.435028967058
68,32,2020-04-28,7524.8403281717,2931.2948091873905,2173.282661116526
69,33,2020-04-29,7325.780784709252,2876.411182191214,2140.9611017802295
70,34,2020-04-30,7082.99363148307,2802.9340431630626,2094.497522279878
71,35,2020-05-01,6803.573935532677,2713.053281913948,2035.2786589570906
72,36,2020-05-02,6495.106626287034,2609.289370437523,1964.9737450893213
73,37,2020-05-03,6165.278091009277,2494.359209167089,1885.4460421498538
74,38,2020-05-04,5821.52862496124,2371.0428114397128,1798.6602266222908
75,39,2020-05-05,5470.767740794978,2242.060831049862,1706.5927229469635
76,40,2020-05-06,5119.1646009642645,2109.970762002844,1611.1511550557334
77,41,2020-05-07,4772.016332705942,1977.086844523339,1514.107588502634
78,42,2020-05-08,4433.689031759008,1845.425756028876,1417.0483996745534
79,43,2020-05-09,4107.620636027354,1716.6774718008082,1321.3417153529408
80,44,2020-05-10,3796.3717689754994,1592.1985591999382,1228.1216696483389
81,45,2020-05-11,3501.709869956012,1473.0237845404063,1138.2874135069587
82,46,2020-05-12,3224.71291246888,1359.8912774877444,1052.5139801833338
83,47,2020-05-13,2965.8811219134186,1253.2765110884957,971.2717612365614
84,48,2020-05-14,2725.2477392485307,1153.430844059405,894.8514113600904
85,49,2020-05-15,2502.482558842421,1060.4211433923247,823.3913632840422
86,50,2020-05-16,2296.9843783516917,974.167885494533,756.9056708304288
87,51,2020-05-17,2107.9604660553596,894.4799894888438,695.3104963182232
88,52,2020-05-18,1934.492625268329,821.0853813127014,638.4481322088232
89,53,2020-05-19,1775.5904443272811,753.6568800932782,586.1079418433192
90,54,2020-05-20,1630.2329360102594,691.8334309047714,538.0439946435163
91,55,2020-05-21,1497.4000802657683,635.2369943984704,493.98945342204206
92,56,2020-05-22,1376.095875159779,583.4855693662339,453.6679558222222
93,57,2020-05-23,1265.3644476751651,536.2028980225241,416.80233598277573
94,58,2020-05-24,1164.300637482891,493.0254130809808,383.12107596509486
95,59,2020-05-25,1072.0562864280073,453.60695373559065,352.36287772593914
96,60,2020-05-26,987.8432738927877,417.6217224445063,324.27972095153746
97,61,2020-05-27,910.9341521254246,384.7658889618979,298.6387318575253
98,62,2020-05-28,840.6610666283814,354.7581810888005,275.22314169405126
99,63,2020-05-29,776.4134996934154,327.33973847117886,253.8325668954476
100,64,2020-05-30,717.6352513585225,302.27344935035035,234.28279905242744
101,65,2020-05-31,663.8209704285255,279.34294166160544,216.40525399764647
102,66,2020-06-01,614.512466532964,258.35135939293286,200.04619600057595
103,67,2020-06-02,569.294969777824,239.1200221329891,185.06582537207032
104,68,2020-06-03,527.7934545840835,221.48703940872474,171.33729527776632
105,69,2020-06-04,489.66910617211397,205.305930772598,158.74570564287478
106,70,2020-06-05,454.61597950951545,190.44428668640649,147.18710801879297
107,71,2020-06-06,422.35787939339207,176.78249317985137,136.5675445060224
108,72,2020-06-07,392.64547502266214,164.2125342603813,126.80213567650117
109,73,2020-06-08,365.25365157673514,152.63687945839774,117.81422637724063
110,74,2020-06-09,339.9790938701408,141.96745916547297,109.53459387439398
111,75,2020-06-10,316.6380922425815,132.12472712160707,101.90071964057734
112,76,2020-06-11,295.0645578053518,123.03680718085525,94.8561238973507
113,77,2020-06-12,275.10823248515953,114.63872005672783,88.34976056026062
114,78,2020-06-13,256.63307859463384,106.87168490660952,82.335469308131
115,79,2020-06-14,239.5158326209421,99.68249019380892,76.7714809662657
116,80,2020-06-15,223.6447083417297,93.02292814290013,71.61997214368239
117,81,2020-06-16,208.9182350871488,86.84928718481751,66.84666501314496
118,82,2020-06-17,195.244217853382,81.12189700460112,62.420468206722944
119,83,2020-06-18,182.53880694976397,75.8047211047433,58.313154971957374
120,84,2020-06-19,170.725665871425,70.86499214538162,54.499074960517646
121,85,2020-06-20,159.73522709040117,66.27288569212396,50.9548962776953
122,86,2020-06-21,149.50402642410336,62.00122837549134,47.6593746900171
123,87,2020-06-22,139.9741075538841,58.02523683067193,44.593147157426756
124,88,2020-06-23,131.09248911863688,54.32228413412486,41.73854711794502
125,89,2020-06-24,122.81068759450864,50.87169078043371,39.07943920143407
126,90,2020-06-25,115.08428989002277,47.6545375456044,36.60107128161599
127,91,2020-06-26,107.87257023922575,44.65349786113438,34.289941990932675
128,92,2020-06-27,101.13814656424074,41.85268757646554,32.13368201986668
129,93,2020-06-28,94.84667200969852,39.23753021697485,30.12094770200565
130,94,2020-06-29,88.96655782617017,36.79463605140336,28.241325548376153
131,95,2020-06-30,83.46872420509317,34.51169346842471,26.485246540883054
132,96,2020-07-01,78.32637604601041,32.37737132807342,24.843909125816936
133,97,2020-07-02,73.51480097491003,30.381231102490347,23.309209965822447
134,98,2020-07-03,69.01118723135005,28.51364775219008,21.873681613476947
135,99,2020-07-04,64.79445930933434,26.76573840225865,20.530436362832916
136,100,2020-07-05,60.84512947219628,25.129297986863094,19.273115618439988
